Extension Report for: /home/nitish/mnt/4tb
Total Files: 362782
----------------------------------------
Extension            | Count     
.dynamodb get-item command | 1         
.dynamodb lab script | 1         
.workaround for out of memory error | 1         
.dynamodb commands   | 1         
.version 1 code      | 1         
.version 2           | 1         
.cloud formation commands | 1         
.cloud formation template json | 1         
.code revisions      | 1         
.iam policy          | 1         
.cloudformation template | 1         
.sam commands        | 1         
.cognito url         | 1         
.bash script         | 1         
.cloudwatch monitoring scripts | 1         
.cli commands        | 1         
.ks                  | 1         
.properties2         | 1         
.groovy              | 1         
.systemd             | 1         
.ttl                 | 1         
.51                  | 1         
.notebookrepo        | 1         
.rar-missing         | 1         
.vcf                 | 1         
.vob                 | 1         
.jpe                 | 1         
.tif                 | 1         
.65ca38a0-0216-4cb0-a161-71c22955ed38 | 1         
.1556678172751       | 1         
.80628f67-f2b8-4e04-82a9-e032d9860d29 | 1         
.8682fc7f-55ce-4111-afb9-ef961be972c2 | 1         
.6f53706b-b55b-47f2-8730-64e871d3ddb8 | 1         
.e0553416-79fd-40ee-97de-a92b2a06a828 | 1         
.8524c4a0-0d0c-4cb6-a0da-06a0b1bae75e | 1         
.872449b7-2652-4753-b138-8f0b5f84a286 | 1         
.f333f301-ba25-4938-8803-82ebf54c4470 | 1         
.9eb02209-c420-4e61-8c59-59377c6b54ea | 1         
.3efb47ff-efac-4769-a508-f7d7d895a1f8 | 1         
.f8c4fabe-7c34-4de0-8621-5dff70ef2443 | 1         
.9d9a786a-fb42-4634-a689-39d9a6818d50 | 1         
.767ece70-bd4e-422e-bd62-ee2b03beb26d | 1         
.a702e968-d421-4b1c-9e8a-57058a5dcf31 | 1         
.9d2ecf2a-314d-4aa4-8532-c02a3161b23d | 1         
.dc1f29e4-3145-4b90-b35e-9392faf617c6 | 1         
.59052f97-e43c-468c-afc5-6266b0f84eee | 1         
.3fadafbb-7d83-4272-b2e5-8e9726585771 | 1         
.4efeed7b-8aa6-4658-9d35-3d08bbaa0557 | 1         
.24e61823-eed8-4e05-948c-c012aff713df | 1         
.e10d7725-ee59-4713-add2-6d295a6bca42 | 1         
.f84155fe-6a32-4e22-af70-0ed2a43b826a | 1         
.41c59950-6c80-48df-89aa-03b43245c148 | 1         
.bac5c7e4-6a5f-496c-b9a4-8d58e6b17fcf | 1         
.919160e2-b53f-47ed-9292-6bc6601b3444 | 1         
.e831b68e-45d6-4ed1-8c89-1958419642c7 | 1         
.6c75e352-d59e-4ff1-b51c-0181585763f9 | 1         
.32c08cb2-8fbd-4ccd-a5f1-12fb29901d9f | 1         
.13283a2f-2bc4-407e-8d4c-44082304aa01 | 1         
.f5f40081-dd1d-4d60-bda4-d9624a109290 | 1         
.69831450-7e23-4025-af2e-ae04d4e73322 | 1         
.97d963ca-2cf3-4ccc-8c41-fa4a9c43b2ba | 1         
.3695e202-7664-4382-aea9-f93f729680e5 | 1         
.c0cdc64c-6fe8-4f96-9d4f-83f9b3258e81 | 1         
.d7c3641e-7a29-4d88-b6be-12722f3e57ef | 1         
.54f8b4ff-1c78-4de0-b948-36abd05d9923 | 1         
.989f8cf3-5adb-4191-8311-9f5372f1da33 | 1         
.048fb762-fe53-4257-a33c-173d0d5022ac | 1         
.d6f72117-eef0-4f7f-bd13-e3ede6d0822a | 1         
.911ebd34-71e6-4377-9630-ee6f1069f7da | 1         
.2f3d2363-71f2-4bc1-a553-d54ffe2b6975 | 1         
.1553544480412       | 1         
.aa                  | 1         
.smi                 | 1         
.txt~                | 1         
.css~                | 1         
.par                 | 1         
.bik                 | 1         
.part                | 1         
.76329               | 1         
.202054              | 1         
.210218              | 1         
.24182               | 1         
.6151                | 1         
.dockerfile          | 1         
.bash                | 1         
.zsh-template        | 1         
.cr2                 | 1         
.dltemp              | 1         
.temp                | 1         
.this                | 1         
.cast                | 1         
.own                 | 1         
.psf                 | 1         
.keystore            | 1         
.bst                 | 1         
.stl                 | 1         
.pcm                 | 1         
.helh1l              | 1         
.ics                 | 1         
.neon                | 1         
.nff                 | 1         
.ai                  | 1         
.hosts               | 1         
.rules               | 1         
.excalidraw          | 1         
.avif                | 1         
.mwb                 | 1         
.parts               | 1         
.000009              | 1         
.000011              | 1         
.000012              | 1         
.000013              | 1         
.pkl                 | 1         
.fits                | 1         
.cjs                 | 1         
.ino                 | 1         
.kun                 | 1         
.dsc                 | 1         
.counter             | 1         
.gpl                 | 1         
.tt_                 | 1         
.wri                 | 1         
.camproj             | 1         
.catalog             | 1         
.ax                  | 1         
.thmx                | 1         
.tic                 | 1         
.flb                 | 1         
.cal                 | 1         
.sif                 | 1         
.nlm                 | 1         
.rel                 | 1         
.eng                 | 1         
.skin                | 1         
.pkg                 | 1         
.lib                 | 1         
.prq                 | 1         
.dpc                 | 1         
.18-2010             | 1         
.20190617170656      | 1         
.sir                 | 1         
.dna                 | 1         
.1]                  | 1         
.3]                  | 1         
.jss                 | 1         
.262992&referer=     | 1         
.axd@d=4_td1fqpknragetimjnh_g2&t=633385606641372605 | 1         
.axd@d=dzklfs53nfkkzx8sfro3cq2&t=633385606641372605 | 1         
.axd@d=yo9lmzb-mfwcmmt5j1q0bg2&t=633385606641372605 | 1         
.axd@d=zkg9xdc9c0xpqhqquwpxz5u3cdlcmfs00rh1ymma-go1&t=633385606641372605 | 1         
.mid                 | 1         
.asmx@wsdl           | 1         
.xml~                | 1         
.bs                  | 1         
.new                 | 1         
.gpl3                | 1         
.lgpl                | 1         
.list                | 1         
.locale              | 1         
.aff                 | 1         
.ent                 | 1         
.sqlite-journal      | 1         
.rulesets            | 1         
.little              | 1         
.18-20 2009          | 1         
.22-2007             | 1         
.9-55                | 1         
.181                 | 1         
.17-18-19-20-24      | 1         
.32bit               | 1         
.x+ptracekmod+local+root+exploit | 1         
.29                  | 1         
.24=2008             | 1         
.9-22                | 1         
.2-death_root        | 1         
.pid                 | 1         
.opts                | 1         
.init                | 1         
.stat                | 1         
.ja                  | 1         
.cfm                 | 1         
.lic                 | 1         
.htacess             | 1         
.sdf                 | 1         
.idc                 | 1         
.ppm                 | 1         
.settings            | 1         
.suo                 | 1         
.root                | 1         
.loaded1             | 1         
.png&t=aphzqp-hmfm0udwg_firx1ucrgptdy2hprvf6bhpohtllepkcou6qjpv89btna5jbcicq4cgftjfwubyjmexdr4egu0z4qwclwaaaaaaaaaa | 1         
.esi                 | 1         
.rc                  | 1         
.scm                 | 1         
.db3                 | 1         
.db3-journal         | 1         
.v0                  | 1         
.v8                  | 1         
.pamp                | 1         
.anki2               | 1         
.anki2-journal       | 1         
.tmp-journal         | 1         
.db2                 | 1         
.db2-journal         | 1         
.colpkg              | 1         
